,query,_id,_score,symbol,notfound
347,ENSG00000184009,71,25.303982,ACTG1,
348,ENSG00000103056,55512,24.761211,SMPD3,
349,ENSG00000135916,81618,25.303558,ITM2C,
350,ENSG00000197063,4097,24.754364,MAFG,
351,ENSG00000104695,5516,24.349392,PPP2CB,
352,ENSG00000128383,200315,24.761679,APOBEC3A,
353,ENSG00000166558,146167,24.76163,SLC38A8,
354,ENSG00000268387,,,,True
355,ENSG00000137076,7094,24.761679,TLN1,
356,ENSG00000148346,3934,24.356537,LCN2,
357,ENSG00000111058,79611,25.303982,ACSS3,
358,ENSG00000122643,51251,24.76163,NT5C3A,
359,ENSG00000166831,348093,25.299076,RBPMS2,
360,ENSG00000142192,351,24.35181,APP,
361,ENSG00000167618,3904,25.299124,LAIR2,
362,ENSG00000100300,706,24.756868,TSPO,
363,ENSG00000104361,79815,25.299124,NIPAL2,
364,ENSG00000272523,100652853,25.304031,LINC01023,
365,ENSG00000103490,29108,24.356588,PYCARD,
366,ENSG00000074416,11343,25.296564,MGLL,
367,ENSG00000051128,9454,24.754364,HOMER3,
368,ENSG00000172927,26579,25.303984,MYEOV,
369,ENSG00000132205,84034,24.761631,EMILIN2,
370,ENSG00000183019,199675,25.303984,MCEMP1,
371,ENSG00000157168,3084,24.761211,NRG1,
372,ENSG00000169245,3627,24.03308,CXCL10,
373,ENSG00000188820,441168,25.303982,CALHM6,
374,ENSG00000262420,ENSG00000262420,26.12737,,
375,ENSG00000183734,430,25.303982,ASCL2,
376,ENSG00000226091,389634,25.296564,LINC00937,
377,ENSG00000084234,334,25.296564,APLP2,
378,ENSG00000258101,ENSG00000258101,26.122366,,
379,ENSG00000185201,10581,24.756868,IFITM2,
380,ENSG00000229017,ENSG00000229017,26.127375,LINC01277,
381,ENSG00000188076,147199,25.303984,SCGB1C1,
382,ENSG00000177697,977,25.303984,CD151,
383,ENSG00000204525,3107,24.349392,HLA-C,
384,ENSG00000130489,,,,True
385,ENSG00000233203,ENSG00000233203,26.127419,DHCR24-DT,
386,ENSG00000222040,,,,True
387,ENSG00000226777,9834,25.304031,FAM30A,
388,ENSG00000143185,6846,25.304031,XCL2,
389,ENSG00000134539,3824,24.761211,KLRD1,
390,ENSG00000230082,100874032,25.303558,PRRT3-AS1,
391,ENSG00000117586,7292,25.299124,TNFSF4,
392,ENSG00000237419,ENSG00000237419,26.122366,,
393,ENSG00000150510,220108,25.296564,FAM124A,
394,ENSG00000180739,53637,25.299076,S1PR5,
395,ENSG00000138688,84162,25.304031,KIAA1109,
396,ENSG00000205693,100287284,25.296564,MANSC4,
397,ENSG00000102265,7076,24.756868,TIMP1,
398,ENSG00000137103,51754,25.304031,TMEM8B,
399,ENSG00000253250,100127983,25.303558,C8orf88,
400,ENSG00000144713,6161,24.349392,RPL32,
401,ENSG00000186193,89958,24.756868,SAPCD2,
402,ENSG00000272202,ENSG00000272202,26.122366,,
403,ENSG00000232941,,,,True
404,ENSG00000166825,290,25.304031,ANPEP,
405,ENSG00000104870,2217,25.303558,FCGRT,
406,ENSG00000124780,89822,25.299076,KCNK17,
407,ENSG00000125810,22918,24.35181,CD93,
408,ENSG00000127824,7277,25.296564,TUBA4A,
409,ENSG00000196576,23654,25.296564,PLXNB2,
410,ENSG00000189127,340120,25.299076,ANKRD34B,
411,ENSG00000156381,122416,25.299076,ANKRD9,
412,ENSG00000173626,100128327,25.303982,TRAPPC3L,
413,ENSG00000116990,4610,24.76163,MYCL,
414,ENSG00000163687,1776,25.296564,DNASE1L3,
415,ENSG00000182511,2242,25.296564,FES,
416,ENSG00000160789,4000,24.349392,LMNA,
417,ENSG00000257449,ENSG00000257449,26.12694,,
418,ENSG00000115738,3398,24.35613,ID2,
419,ENSG00000165914,145567,25.304031,TTC7B,
420,ENSG00000142634,79180,25.304031,EFHD2,
421,ENSG00000167644,64073,25.299124,C19orf33,
422,ENSG00000167851,11314,25.304031,CD300A,
423,ENSG00000122026,6144,24.756868,RPL21,
424,ENSG00000158825,978,24.761679,CDA,
425,ENSG00000167470,90007,25.303982,MIDN,
426,ENSG00000185065,ENSG00000185065,26.12737,,
